Date,Open,High,Low,Close,Volume,EMA_{FAST},EMA_{SLOW},SMA_20,SMA_50,signal,position,ret,strategy_ret,equity
2022-08-26,167.91932427745144,168.3918608006587,161.01825109648692,161.0773162841797,78961000,161.0773162841797,161.0773162841797,,,0,0.0,0.0,0.0,1.0
2022-08-29,158.64572524641508,160.36853027090402,157.33640664687104,158.87216186523438,73314000,159.91961021423342,159.95268753051758,,,0,0.0,-0.013690036994749022,-0.0,1.0
2022-08-30,159.61048321715364,160.0337937500244,155.26901159376436,156.44052124023438,77906200,158.64210960013386,158.73483064196586,,,0,0.0,-0.015305643206785846,-0.0,1.0
2022-08-31,157.81875651310324,158.084564879281,154.69802058402368,154.7767791748047,87991100,157.52624846955487,157.68517153526776,,,0,0.0,-0.010634981603486193,-0.0,1.0
2022-09-01,154.20580050146393,155.95813794862076,152.2664132669702,155.5052947998047,74229900,157.0373969747847,157.21363504289062,,,0,0.0,0.004706879345106607,0.0,1.0
2022-09-02,157.26746135406307,157.86798246463846,152.56174446332417,153.38868713378906,76957800,156.26768586192384,156.5107304348862,,,0,0.0,-0.013611161399619931,-0.0,1.0
2022-09-06,154.03844040820118,154.64880073393257,151.30164311185825,152.1285858154297,73714800,155.48508449335102,155.8071370185627,,,0,0.0,-0.008215086405037764,-0.0,1.0
2022-09-07,152.41406294176315,154.23530443324142,151.22286005633052,153.53634643554688,87449600,155.14823532806005,155.48199470659853,,,0,0.0,0.009253754727104102,0.0,1.0
2022-09-08,152.23687268905203,153.93014485598613,150.30732474708108,152.05967712402344,84923800,154.65281548981926,155.03812055334097,,,0,0.0,-0.009617718187291402,-0.0,1.0
2022-09-09,153.05397081020374,155.36745741692656,152.34515853161906,154.9244384765625,68028800,154.69371955805465,155.02459944865657,,,0,0.0,0.01883971744989621,0.0,1.0
2022-09-12,157.10992184119257,161.70734689387623,156.82443513422925,160.89024353027344,104956000,155.57791906875818,155.67073532694636,,,0,0.0,0.03850783719066686,0.0,1.0
2022-09-13,157.41511914732905,158.04517283101427,150.98659772699438,151.4492950439453,122656600,155.01548423631863,155.23652161527096,,,0,0.0,-0.05867943437198975,-0.0,1.0
2022-09-14,152.3845305395428,154.6586453659871,151.22287515005883,152.89645385742188,87965400,154.73817938053608,155.01022646573622,,,0,0.0,0.00955540145008027,0.0,1.0
2022-09-15,152.24670339235885,152.82754609590185,149.02753063381346,150.00213623046875,90481100,154.13972227990735,154.552249997109,,,0,0.0,-0.018929919915945947,-0.0,1.0
2022-09-16,148.8601926989242,148.99801648832616,146.06431507986616,148.3581085205078,162278800,153.4311967795905,154.01392966646355,,,0,0.0,-0.010960028645425335,-0.0,1.0
2022-09-19,146.989690339551,152.15810428972742,146.78296219367604,152.079345703125,81474200,153.2699341399732,153.85345240856176,,,0,0.0,0.02508280281898312,0.0,1.0
2022-09-20,151.0161367015711,155.6234166633189,150.7011173572486,154.4617462158203,107689800,153.4087664733593,153.90179707726293,,,0,0.0,0.015665510011767303,0.0,1.0
2022-09-21,154.89491678247586,156.2731696529989,151.21304637695786,151.3311767578125,101696800,153.17178717422405,153.7054017454122,,,0,0.0,-0.020267603692849967,-0.0,1.0
2022-09-22,150.01200313979504,152.06952070873675,148.5648458969192,150.3664093017578,86652500,152.85770608718957,153.45944840186692,,,0,0.0,-0.006375206198248828,-0.0,1.0
2022-09-23,148.84048424162157,149.11613179254852,146.25135007934554,148.09228515625,96029900,152.33295798178597,153.07726256799162,153.6318504333496,,0,0.0,-0.015123884091320261,-0.0,1.0
2022-09-26,147.3342661670832,151.38039679019585,147.31457276382835,148.42701721191406,93339400,151.90915739312103,152.75639256586308,152.99933547973632,,0,0.0,0.0022602936764120063,0.0,1.0
2022-09-27,150.3664080888261,152.315634453065,147.619756600354,149.40162658691406,84442700,151.6406478011992,152.53160673689317,152.52580871582032,,0,0.0,0.006566253188316162,0.0,1.0
2022-09-28,145.34565069913458,148.29903022974963,142.58916013289422,147.51145935058594,146691400,151.20366431690493,152.2043270115651,152.0793556213379,,0,0.0,-0.012651584052389975,-0.0,1.0
2022-09-29,143.82957793472042,144.43993818318944,138.49379277972724,140.2658233642578,128138200,150.058264799192,151.44572381760833,151.35380783081055,,0,0.0,-0.049119139748374674,-0.0,1.0
2022-09-30,139.0844755504192,140.87619954797051,135.85544869618502,136.05233764648438,124925300,148.6053533148757,150.49081838452085,150.38115997314452,,0,0.0,-0.030039289804982605,-0.0,1.0
2022-10-03,136.0621976067289,140.84667290730152,135.55027429699052,140.23629760742188,114311700,147.7445003519317,149.8688858287202,149.72354049682616,,0,0.0,0.030752576790036512,0.0,1.0
2022-10-04,142.77621059568105,143.9477202186119,142.01817230643195,143.82958984375,87830100,147.3448537301718,149.51029104779343,149.3085906982422,,0,0.0,0.02562312537933087,0.0,1.0
2022-10-05,141.83111532059078,145.08967450416395,140.7875754267863,144.12489318847656,79471000,147.01838454824562,149.19684223613154,148.83801803588867,,0,0.0,0.0020531473742460005,0.0,1.0
2022-10-06,143.54408244476417,145.24719370943012,142.96325476225735,143.16998291015625,68402200,146.6305836334586,148.85259464182292,148.3935333251953,,0,0.0,-0.006625574924600586,-0.0,1.0
2022-10-07,140.32488726950297,140.87619735207727,137.28291022305208,137.9129638671875,85925600,145.75694709660664,148.23872516912223,147.54295959472657,,0,0.0,-0.036718723688524135,-0.0,1.0
2022-10-10,138.23782348632812,139.68498038649952,136.41658213054245,138.23782348632812,74899000,145.0071495836238,147.68685758529747,146.41033859252929,,0,0.0,0.0023555408427990976,0.0,1.0
2022-10-11,137.72593753469053,139.15341644364526,136.0720520706598,136.8202362060547,77033700,144.19440254684213,147.09664149234618,145.67888565063475,,0,0.0,-0.010254699072382634,-0.0,1.0
2022-10-12,136.96791731761857,138.1787988471096,136.0129899667056,136.190185546875,70433700,143.4029865183564,146.51307304546202,144.84357223510742,,0,0.0,-0.004604952283745578,-0.0,1.0
2022-10-13,132.8922353283637,141.35858069211028,132.2818600306571,140.76791381835938,113224000,143.14338811504103,146.20999976831556,144.38186111450196,,0,0.0,0.03361276183817785,0.0,1.0
2022-10-14,142.0673926816115,142.27413585110418,136.04250345541635,136.22955322265625,88598000,142.46448639064238,145.69053524975251,143.7754333496094,,0,0.0,-0.03224002169670015,-0.0,1.0
2022-10-17,138.87775734642221,140.67930564113678,138.09018646721276,140.19692993164062,85250900,142.24248081187687,145.4082255982486,143.18131256103516,,0,0.0,0.0291227315595759,0.0,1.0
2022-10-18,143.22907894720203,144.42026703642762,138.4249097380949,141.51611328125,99136600,142.17155481764456,145.21062017980262,142.53403091430664,,0,0.0,0.009409502406740211,0.0,1.0
2022-10-19,139.488098622933,142.69743186765362,139.30104887468818,141.62437438964844,61758300,142.11825378628882,145.03062369975737,142.04869079589844,,0,0.0,0.0007650090571897916,0.0,1.0
2022-10-20,140.7974672692939,143.62286253921314,140.4332068704366,141.16171264648438,64522000,142.02527875344344,144.83854807746843,141.58845596313478,,0,0.0,-0.0032668228555852163,-0.0,1.0
2022-10-21,140.6497673856839,145.5523880250328,140.43318502707822,144.9813995361328,86548600,142.31204894026195,144.84556686107857,141.43291168212892,,0,0.0,0.027058944086447934,0.0,1.0
2022-10-24,144.90262887759332,147.89537982279583,143.73111940500422,147.12750244140625,75981900,142.77836526972243,144.9565851544669,141.36793594360353,,0,0.0,0.014802608556269137,0.0,1.0
2022-10-25,147.7575758033074,150.12028846465364,147.03892431633474,149.9726104736328,74732300,143.47392530659687,145.19833846067291,141.39648513793946,,0,0.0,0.019337703590527777,0.0,1.0
2022-10-26,148.6140950432804,149.6280876881736,145.73945849202812,147.02911376953125,88194300,143.8171551350133,145.28578949983813,141.37236785888672,,0,0.0,-0.019626895169762126,-0.0,1.0
2022-10-27,145.76897734753766,146.73374379544853,141.8902031311427,142.54978942871094,109180200,143.6949588934431,145.1562065267663,141.48656616210937,,0,0.0,-0.030465560364062783,-0.0,1.0
2022-10-28,145.89692843507157,155.05240689410368,145.52284395380414,153.31976318359375,164762400,144.62186532213644,145.53972615493814,142.34993743896484,,0,0.0,0.07555236523354436,0.0,1.0
