Price,Open,High,Low,Close,Volume,EMA_{FAST},EMA_{SLOW},SMA_20,SMA_50,signal,position,ret,strategy_ret,equity
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,,,
Date,,,,,,,,,,,,,,
2022-01-03,174.34505345884557,179.2960912081591,174.22740989529922,178.44313049316406,104487900,178.44313049316406,178.44313049316406,,,0,0.0,0.0,0.0,1.0
2022-01-04,179.05097865451486,179.35490114678188,175.60975505040156,176.1783905029297,99310400,177.254141998291,177.28811309814452,,,0,0.0,-0.012691662514411783,-0.0,1.0
2022-01-05,176.09017287650624,176.639196130045,171.21756906170717,171.49208068847656,94537600,175.1383476289087,175.2783170312806,,,0,0.0,-0.02659979922097877,-0.0,1.0
2022-01-06,169.3155513917919,171.86460451754675,168.27632687367543,168.6292724609375,96904000,173.25927826698285,173.51501752848057,,,0,0.0,-0.016693530197114392,-0.0,1.0
2022-01-07,169.50188137744055,170.72738518026193,167.67833112045182,168.79598999023438,86709100,172.1796468145962,172.49422875789762,,,0,0.0,0.00098866304090528,0.0,1.0
2022-01-10,165.76652857616685,169.1195047889858,164.87435832287932,168.81558227539062,106765600,171.4699828585549,171.8182097309141,,,0,0.0,0.00011607079740105775,0.0,1.0
2022-01-11,168.9430494474789,171.7469876214078,167.47244497092254,171.64895629882812,76138300,171.50382230619394,171.79103454368337,,,0,0.0,0.016783841783132303,0.0,1.0
2022-01-12,172.66855252404713,173.70777719583765,171.39404073246158,172.09011840820312,74805200,171.605166533441,171.8338587564965,,,0,0.0,0.0025701415195731325,0.0,1.0
2022-01-13,172.3352251905114,173.15876005827155,168.42341212900857,168.81558227539062,84505800,171.15770357804772,171.4423886824831,,,0,0.0,-0.019028031144967872,-0.0,1.0
2022-01-14,167.98225196839815,170.37443776083572,167.73715121031663,169.67835998535156,80440800,170.93492725125458,171.23257885708156,,,0,0.0,0.005110770571838952,0.0,1.0
2022-01-18,168.14887724519528,169.15869092282202,166.09004036060844,166.47239685058594,90956700,170.29815618178705,170.70821625703465,,,0,0.0,-0.018894354795993995,-0.0,1.0
2022-01-19,166.6684893743364,167.72732627847407,162.68805608048748,162.9723663330078,94815000,169.3001773488096,169.9125133965674,,,0,0.0,-0.02102468988128714,-0.0,1.0
2022-01-20,163.7076835662155,166.35476859042288,160.9625522612085,161.2860870361328,91420500,168.2514211910323,169.07829890143697,,,0,0.0,-0.010347025908854723,-0.0,1.0
2022-01-21,161.197822824496,163.07039571920242,159.1193737240524,159.2272186279297,122848900,167.1111025895593,168.17744393599457,,,0,0.0,-0.012765319352945004,-0.0,1.0
2022-01-24,156.88409244537576,159.11941009139656,151.66834129815217,158.45272827148438,162294600,166.05003568835525,167.33228853040245,,,0,0.0,-0.0048640575594998126,-0.0,1.0
2022-01-25,155.86443270388338,159.5703540851256,153.94285159644792,156.6487579345703,115798400,164.92855500698147,166.44607023891484,,,0,0.0,-0.011384911806777032,-0.0,1.0
2022-01-26,160.29584841312035,161.16840625563324,154.72716801590528,156.56051635742188,108275300,163.9537752114691,165.66040742001772,,,0,0.0,-0.0005633085018478257,-0.0,1.0
2022-01-27,159.26642822820887,160.6291874906743,155.17815044081257,156.0997314453125,121954600,163.0579073829207,164.92997200076795,,,0,0.0,-0.0029431744531132065,-0.0,1.0
2022-01-28,162.4625632621154,167.01163189910224,159.6095873711376,166.9920196533203,179935700,163.4983579441552,165.08186438245298,,,0,0.0,0.06977775110281836,0.0,1.0
2022-01-31,166.82538585540124,171.5705330064948,166.18811489980484,171.35484313964844,115541600,164.3634810426626,165.52855167469414,166.532706451416,,0,0.0,0.026125940002315495,0.0,1.0
2022-02-01,170.5999083862923,171.41364461299403,168.93322639800166,171.1881561279297,86213900,165.1039687993876,165.919068121441,166.1699577331543,,0,0.0,-0.0009727592676379571,-0.0,1.0
2022-02-02,171.32540739423024,172.43326746235797,169.93323706636977,172.39404296875,84914300,165.88459922492416,166.3529232987454,165.98074035644532,,0,0.0,0.007044218876445907,0.0,1.0
2022-02-03,171.0606961129302,172.78621481447524,168.74694463929947,169.51165771484375,89418100,166.26844333270006,166.5588514623098,165.88171920776367,,0,0.0,-0.01671974973305046,-0.0,1.0
2022-02-04,168.52997983501845,170.9055904569665,167.54832800006477,169.22695922851562,82465400,166.57825609144135,166.72838988463303,165.91160354614257,,0,0.0,-0.0016795215748940384,-0.0,1.0
2022-02-07,169.6883399458675,170.75833687095522,167.81338131131074,168.51036071777344,77251200,166.77868387961215,166.83893175055212,165.89732208251954,,0,0.0,-0.004234541080269216,-0.0,1.0
2022-02-08,168.57909567441112,172.1326861402394,168.28459707531294,171.62222290039062,74829200,167.27689718621716,167.1290364326355,166.03765411376952,,0,0.0,0.0184668893316835,0.0,1.0
2022-02-09,172.81981752201338,173.40879966630814,171.6909088658484,173.04559326171875,71285000,167.86578418471066,167.48034334079935,166.10748596191405,,0,0.0,0.008293625017048223,0.0,1.0
2022-02-10,170.94483958426483,172.2602493685021,168.402365080668,168.96189880371094,90865900,167.97691835493686,167.56657500118772,165.95107498168946,,0,0.0,-0.02359895089516395,-0.0,1.0
2022-02-11,169.16808987950634,169.90432887481495,164.95679443820137,165.54579162597656,98670700,167.73193530531887,167.45115007123505,165.78758544921874,,0,0.0,-0.020218210152236682,-0.0,1.0
2022-02-14,164.2991135319602,166.46857134746543,163.50397769684932,165.7814178466797,86185500,167.53646413734847,167.3574542544973,165.59273834228514,,0,0.0,0.0014233295717687167,0.0,1.0
2022-02-15,167.83304529637556,169.77671208150778,167.12625465108732,169.61964416503906,62527400,167.74419621954524,167.48228592664856,165.7501007080078,,0,0.0,0.0231523313542239,0.0,1.0
2022-02-16,168.69689508661867,170.1595469185717,166.92991856527323,169.38404846191406,61177400,167.90699079049998,167.58557938043813,166.07068481445313,,0,0.0,-0.0013889647292018026,-0.0,1.0
2022-02-17,167.89196395169796,168.75582262629885,165.37893687521128,165.7814178466797,69589300,167.69682501195325,167.4890446537178,166.29545135498046,,0,0.0,-0.021269007606961488,-0.0,1.0
2022-02-18,166.70415983864797,167.4109355405672,163.1407580714809,164.2303924560547,82772700,167.35532386220785,167.3171416025426,166.5456100463867,,0,0.0,-0.009355845852756839,-0.0,1.0
2022-02-22,161.95293260639133,163.6315640117695,159.17485582320555,161.3050537109375,91162800,166.76121959117594,167.0042231045692,166.68822631835937,,0,0.0,-0.017812407931132257,-0.0,1.0
2022-02-23,162.50264821161971,163.10145646710572,156.8188903266126,157.13302612304688,90009200,165.8185693410034,166.49695437694652,166.7124397277832,,0,0.0,-0.02586420878893847,-0.0,1.0
2022-02-24,149.78045618194105,159.86202589264875,149.2110962540396,159.75404357910156,141147500,165.22640008635753,166.1546118130044,166.8721160888672,,0,0.0,0.016680245526502047,0.0,1.0
2022-02-25,160.83386973446065,162.09038317154068,157.91836192123637,161.82534790039062,91974200,164.8951024376631,165.93732267247847,167.15839691162108,,0,0.0,0.012965583060584374,0.0,1.0
2022-02-28,160.06816196139965,162.38486112479202,159.44971644975743,162.09036254882812,95056600,164.62248396634416,165.74633682413602,166.91331405639647,,0,0.0,0.0016376584501498481,0.0,1.0
2022-03-01,161.67809026330085,163.5432381527931,158.99818435052663,160.2056121826172,83474400,164.19400785197496,165.4741019609729,166.35585250854493,,0,0.0,-0.011627775622027992,-0.0,1.0
2022-03-02,161.37379913894847,164.28930727333417,159.9602176218132,163.5039825439453,79724800,164.1271875475532,165.37825381462943,165.9716438293457,,0,0.0,0.020588357151735348,0.0,1.0
2022-03-03,165.3789138092183,165.81084308627598,162.51249176371445,163.1800079345703,76678400,164.03561153535736,165.2723067398953,165.5109420776367,,0,0.0,-0.001981447817565707,-0.0,1.0
2022-03-04,161.47195061166718,162.512499384929,159.12580281837,160.17616271972656,83737200,163.6630073911378,165.02887812899863,165.04416732788087,,0,0.0,-0.018408169314761857,-0.0,1.0
2022-03-07,160.36264017995268,161.99218577844468,156.12189717358572,156.37713623046875,96418800,162.9605218591629,164.6191126288831,164.40167617797852,,0,0.0,-0.023717801854857057,-0.0,1.0
2022-03-08,155.90600005394768,159.8915053454628,152.94140639728047,154.5513153076172,131148300,162.15068226369038,164.14613276882025,163.7037239074707,,0,0.0,-0.011675753673866196,-0.0,1.0
2022-03-09,158.51716018630677,160.41175632836593,156.4851483427237,159.96018981933594,91454900,161.93995384460823,163.9509943690792,163.12062225341796,,0,0.0,0.034997272594885276,0.0,1.0
2022-03-10,157.26064889872916,157.447165177113,153.11807622105542,155.61148071289062,105342000,161.33173182683802,163.56508314602672,162.24891662597656,,0,0.0,-0.027186196211425373,-0.0,1.0
2022-03-11,156.0139261115159,156.357510261072,151.66521547258807,151.8909912109375,96970100,160.42518283176048,163.028651078668,161.3953712463379,,0,0.0,-0.023908836834587888,-0.0,1.0
2022-03-14,148.67120306961968,151.2922123001873,147.34598176184335,147.85643005371094,108732100,159.21921506836034,162.33614174197538,160.51090316772462,,0,0.0,-0.026562214948111063,-0.0,1.0
2022-03-15,148.1312907310734,152.7156190595178,147.6208424416319,152.24441528320312,92964300,158.55046115790427,161.87846438792602,159.83405303955078,164.4624658203125,0,0.0,0.02967733786009985,0.0,1.0
2022-03-16,154.16846031293665,157.0643309184818,151.62598505111097,156.66184997558594,102300200,158.36949480638935,161.6433246775403,159.18616333007813,164.02684020996094,0,0.0,0.029015413696230175,0.0,1.0
2022-03-17,155.6998279417029,158.04597567713608,154.73781315339022,157.67294311523438,75615400,158.30279016314512,161.4654016424542,158.60060806274413,163.65673126220702,0,0.0,0.0064539844244531075,0.0,1.0
